id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
73172,44622,Baldr Force EXE,NULL,2005-05-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118364,61547,Bam 'N Jam,NULL,2005-08-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4838,6316,Banjo-Pilot,NULL,2005-01-12 00:00:00.000,NULL,NULL,70.0000,2,56.1529,6
139408,20523,Bankshot Billiards 2,NULL,2005-11-22 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL
144911,175912,Barakel: The Fallen Angel,NULL,2005-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105127,45172,Barbie and The Magic of Pegasus,NULL,2005-09-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
134310,220537,Bass Angler Championship,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124190,152136,Bat,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106358,3063,Batman Begins,NULL,2005-07-14 00:00:00.000,6,NULL,65.0000,2,65.2182,21
117004,3797,Battalion Wars,NULL,2005-09-19 00:00:00.000,1,NULL,77.5000,2,62.7572,7
172531,2365,Battle for Wesnoth,NULL,2005-08-02 00:00:00.000,7,NULL,NULL,NULL,75.6151,26
194543,47065,Battle Moon Wars,NULL,2005-08-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9748,22512,Battle of Britain II: Wings of Victory,NULL,2005-10-12 00:00:00.000,NULL,NULL,65.0000,2,NULL,NULL
8921,22418,Battle Raper II,NULL,2005-04-22 00:00:00.000,5,NULL,NULL,NULL,NULL,NULL
153349,277,Battlefield 2,NULL,2005-06-21 00:00:00.000,98,NULL,93.0000,4,81.9768,262
94089,348,Battlefield 2: Modern Combat,"The single player campaign game revolves around a fictional war between NATO and China that takes place in Kazakhstan. The media on both sides air propaganda that accuses the other of war crimes while the player fights for each nation back and forth. When the player eventually chooses a side to lead to victory, it is revealed that a terrorist organization called Burning Flag is responsible for misleading both NATO and China into starting the war. Various war crimes each side believes the other committed during the fighting were in fact arranged by Burning Flag, which also sabotaged the only known attempt at negotiations. The winning side must then stop Burning Flag's leader, Commander 31, from launching 3 nuclear ICBMs at the United States, Europe, and China; failure would mean neither side would have anything left to fight for or live for. During the course of an intense battle, the ICBM launches are halted and Commander 31 killed, with the player being hailed as the hero who made China's- or NATO's- victory possible.",2005-10-24 00:00:00.000,12,NULL,80.5000,6,63.1174,33
70613,20485,Battles of Prince of Persia,"The story of the game takes place between Prince of Persia: The Sands of Time and Prince of Persia: Warrior Within. The game is set in Persia, India, and the fictional Aresura. Each of these places sends three generals to fight their wars. The Prince finds out that he is being hunted by the Dahaka, an incarnation of fate, because he interfered with time and cheated his own death in the process. However, the Prince accidentally starts a conflict between Persia and India. Over the span of the game, the Prince fights the Deavas, a mythical race of demons contained in a box he opens, and Kalim, the Prince of India and brother of his long lost love Farah. Because of the wars the Prince becomes darker and matures. The game gives information as to what happens in between the two games in the Sands of Time trilogy.",2005-12-06 00:00:00.000,1,NULL,65.0000,2,40.0000,4
83381,5745,Beat Down: Fists of Vengeance,NULL,2005-08-23 00:00:00.000,1,NULL,35.0000,2,NULL,NULL
43501,43514,Beat Down: Fists of Vengence,NULL,2005-09-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69614,80104,beatmania IIDX 12 HAPPY SKY,NULL,2005-07-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98761,50316,Becherov,NULL,2005-01-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84236,61425,BECK: The Game,"Playing as main character Yukio Tanaka, you lead your band, Beck, to success. The game's storyline is based on the anime, but with some new additions.",2005-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118568,52632,Beetle Bomp,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
100348,220789,Benjamin Blümchen: Das große Zoofest,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
192460,22511,Bet On Soldier: Blood Sport,NULL,2005-09-26 00:00:00.000,1,NULL,50.0000,1,50.0000,2
79763,131452,Beyond,NULL,2005-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71600,199069,Bibi Blocksberg: Der Magische Hexenkreis,"The city of Neustadt has been bewitched so inanimate objects as well as animals are behaving strangely. After rescuing her dad and two of her friends from dangerous situations caused by this mess, Bibi is called to see auntie Mania who is trapped inside a witch circle together with Bibi's mother Barbara. Mania explains the witch circle as well as the mess in the city is the doing of adult witch Malicia who wants to prevent being punished by the witch congress for crimes she has committed against the witch code of honor. In order to free her mother and auntie Mania from the witch circle Bibi obtains several items. With the help of fellow teenage witches Schubia and Flowipowi Bibi is able to cast the spell to end the mess and free Barbara and Mania.",2005-08-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63656,615,Big Kahuna Reef,NULL,2005-01-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92414,5748,Big Mutha Truckers 2,NULL,2005-06-24 00:00:00.000,1,NULL,43.7500,4,NULL,NULL
125626,71421,Billy Blade and the Temple of Time,NULL,2005-04-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172535,93357,Biniax,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144637,15738,Bionicle: Maze of Shadows,"Based on the events of the book Maze of Shadows. As you travel through the underworld of Mata Nui as the Toa Metru, you will battle Rahi, unlock new powers, and help Nokama by getting energized protodermis to the Karzahni plant and getting a healing root for Nokama, who has been fatally injured. Unlike most other handheld BIONICLE games, Maze of Shadows is semi-canon, with certain aspects being canon, while other aspects being non-canon.",2005-03-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
182908,1921,Black & White 2,"The player comes upon a scene of a Greek city being devastated by a huge Aztec army after being summoned from a ""pure prayer"". After the player saves a certain number of people, their people are transported to a new land with a handful of refugee worshipers, the player must re-establish a power base from which to eventually defeat the Aztec empire. To do so, the player must conquer the Norse, the Japanese and the Aztecs, either by peace or war. Throughout the game there is a theme of ""The prophecy"", which states that a tribe will be destroyed by the mightiest power in the world but will receive a god who will lead them to glory and dominance of the world.",2005-10-07 00:00:00.000,22,NULL,73.3333,3,75.5413,53
99542,57643,Black Market Bowling,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39634,49309,Blades of Thunder,NULL,2005-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82885,49534,Bleach Advance: Kurenai ni Somaru Soul Society,NULL,2005-08-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83931,3820,Bleach GC: Tasogare ni Mamieru Shinigami,NULL,2005-12-08 00:00:00.000,1,NULL,NULL,NULL,38.0000,0
7025,44488,Bleach Heat the Soul,NULL,2005-03-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186654,43533,Bleach: Erabareshi Tamashi,NULL,2005-09-04 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
124771,74799,Bleach: Hanatareshi Yabou,NULL,2005-08-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115877,44481,Bleach: Heat the Soul 2,NULL,2005-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7274,5753,Blitz: The League,NULL,2005-10-17 00:00:00.000,2,NULL,70.0000,4,70.0303,5
169492,7288,Blitzkrieg 2,NULL,2005-12-31 00:00:00.000,4,NULL,83.0000,2,NULL,NULL
